Tool,File,Line,Severity,Rule,Message
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,21,Warning,CS8618,Non-nullable property 'WhatYouWillLearn' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,22,Warning,CS8618,Non-nullable property 'CourseOverview' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,23,Warning,CS8618,Non-nullable property 'Thumbnail' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,24,Warning,CS8618,Non-nullable property 'DemoVideo' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,25,Warning,CS8618,Non-nullable property 'CategoryName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseDto.cs,26,Warning,CS8618,Non-nullable property 'SubCategoryName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateCourseReviewDto.cs,13,Warning,CS8618,Non-nullable property 'ReviewText' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserCourseDetailsDto.cs,13,Warning,CS8618,Non-nullable property 'CourseTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserCourseDetailsDto.cs,14,Warning,CS8618,Non-nullable property 'CourseDescription' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserCourseDetailsDto.cs,17,Warning,CS8618,Non-nullable property 'Thumbnail' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserCourseDetailsDto.cs,18,Warning,CS8618,Non-nullable property 'CourseOverview' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserCourseDetailsDto.cs,19,Warning,CS8618,Non-nullable property 'PreRequirements' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserCourseDetailsDto.cs,20,Warning,CS8618,Non-nullable property 'SkillsYouGain' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserCourseDetailsDto.cs,21,Warning,CS8618,Non-nullable property 'WhatYouWillLearn' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserCourseDetailsDto.cs,23,Warning,CS8618,Non-nullable property 'CourseStatus' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserByRoleDto.cs,12,Warning,CS8618,Non-nullable property 'FullName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserByRoleDto.cs,13,Warning,CS8618,Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/UserByRoleDto.cs,14,Warning,CS8618,Non-nullable property 'PhoneNumber' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateQuizDto.cs,12,Warning,CS8618,Non-nullable property 'QuizTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CreateQuizDto.cs,13,Warning,CS8618,Non-nullable property 'QuizDescription' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/FinalAssignmentDto.cs,14,Warning,CS8618,Non-nullable property 'AssignmentTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/FinalAssignmentDto.cs,15,Warning,CS8618,Non-nullable property 'AssignmentDescription' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/ForgotPasswordDTO.cs,11,Warning,CS8618,Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/InstructorRegisterDto.cs,13,Warning,CS8618,Non-nullable property 'FullName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/InstructorRegisterDto.cs,14,Warning,CS8618,Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/InstructorRegisterDto.cs,16,Warning,CS8618,Non-nullable property 'Description' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/ThreadedCourseReviewDto.cs,13,Warning,CS8618,Non-nullable property 'UserName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CourseReviewGroupDto.cs,12,Warning,CS8618,Non-nullable property 'InstructorName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/ThreadedCourseReviewDto.cs,14,Warning,CS8618,Non-nullable property 'ReviewText' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/CourseReviewGroupDto.cs,14,Warning,CS8618,Non-nullable property 'CourseTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/QuizAnswerDto.cs,12,Warning,CS8618,Non-nullable property 'QuizAnswerText' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/QuizAnswerDto.cs,13,Warning,CS8618,Non-nullable property 'AnswerDescription' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/ResetPasswordDTO.cs,11,Warning,CS8618,Non-nullable property 'Email' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/ResetPasswordDTO.cs,12,Warning,CS8618,Non-nullable property 'NewPassword' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/ResetPasswordDTO.cs,13,Warning,CS8618,Non-nullable property 'ConfirmPassword' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
