"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1192,77,1192,79,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1193,77,1193,79,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1200,68,1200,70,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1200,139,1200,141,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1204,63,1204,65,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1204,125,1204,127,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1208,63,1208,65,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1208,125,1208,127,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1208,166,1208,168,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
"eqeqeq","eslint",3,"BestPractices,JavaScript,TypeScript","project/unpackaged/aura/PDMS_COMP_ProviderRequest/PDMS_COMP_ProviderRequestHelper.js",1208,210,1208,212,"Expected '===' and instead saw '=='.","https://eslint.org/docs/latest/rules/eqeqeq"
