"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"7","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","35","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"8","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","45","Validate CRUD permission before SOQL/DML operation or enforce user mode","Security","ApexCRUDViolation"
"9","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","47","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"10","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","47","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"11","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","49","Validate CRUD permission before SOQL/DML operation or enforce user mode","Security","ApexCRUDViolation"
"12","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","56","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"13","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","56","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"14","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","57","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"15","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","57","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"16","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","66","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"17","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","66","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"18","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","67","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"19","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","67","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"20","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","78","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"21","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","78","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"22","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","88","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"23","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","88","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"24","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","89","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"25","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","89","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"26","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","90","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"27","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","90","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"28","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","100","Suggest named credentials for authentication","Security","ApexSuggestUsingNamedCred"
"29","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","115","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"30","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","115","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"31","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","116","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"32","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","116","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"33","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","127","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"34","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","127","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"35","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","128","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"36","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","128","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"37","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","132","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"38","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","132","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"39","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","141","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"40","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","141","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"41","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","142","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"42","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","142","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"43","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","151","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"44","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","151","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"45","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","156","Suggest named credentials for authentication","Security","ApexSuggestUsingNamedCred"
"46","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","166","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"47","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","166","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"48","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","167","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"49","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","167","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"50","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","170","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"51","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","170","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"52","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","180","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"53","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","180","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"54","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","188","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"55","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","188","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"56","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","194","Avoid debug statements since they impact on performance","Performance","AvoidDebugStatements"
"57","","project/Code Scan/force-app/main/default/classes/ZipScanService.cls","3","194","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
